# file...... System_ABC_load_meter.csv
# date...... Fri Oct 27 14:51:55 2017
# user...... mast9
# host...... (null)
# target.... transformer 148
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2016-10-07 00:00:00 PDT,+2.31753e+06-962409i,+899843-342413i,+632010-417232j,+785678-202765j
2016-10-07 01:00:00 PDT,+2.28266e+06-964491i,+885375-343185i,+622442-417990j,+774846-203315j
2016-10-07 02:00:00 PDT,+2.28114e+06-964578i,+884770-343207i,+621997-418034j,+774372-203337j
2016-10-07 03:00:00 PDT,+2.3394e+06-961170i,+903962-342570i,+636595-416611j,+798842-201989j
2016-10-07 04:00:00 PDT,+2.50696e+06-950776i,+964976-339928i,+680081-412498j,+861899-198350j
2016-10-07 05:00:00 PDT,+2.79636e+06-931059i,+1.06979e+06-334323i,+754587-405615j,+971982-191121j
2016-10-07 06:00:00 PDT,+2.93296e+06-920803i,+1.1245e+06-330174i,+789028-402957j,+1.01944e+06-187672j
2016-10-07 07:00:00 PDT,+2.85568e+06-926459i,+1.08124e+06-333075i,+764864-405489j,+1.00957e+06-187896j
2016-10-07 08:00:00 PDT,+2.64964e+06-940911i,+994599-338348i,+706352-410775j,+948685-191787j
2016-10-07 09:00:00 PDT,+2.54052e+06-948179i,+954487-340263i,+677845-413435j,+908188-194481j
2016-10-07 10:00:00 PDT,+2.53959e+06-948245i,+953836-340398i,+677471-413382j,+908284-194465j
2016-10-07 11:00:00 PDT,+2.51206e+06-950113i,+945740-340816i,+671640-413833j,+894679-195464j
2016-10-07 12:00:00 PDT,+2.51296e+06-949995i,+944022-340968i,+670594-413925j,+898342-195103j
2016-10-07 13:00:00 PDT,+2.51798e+06-949671i,+946581-340831i,+672109-413788j,+899293-195052j
2016-10-07 14:00:00 PDT,+2.58009e+06-945602i,+969187-339793i,+688254-412281j,+922649-193528j
2016-10-07 15:00:00 PDT,+2.88749e+06-923996i,+1.08325e+06-333949i,+768484-404512j,+1.03576e+06-185535j
2016-10-07 16:00:00 PDT,+3.16917e+06-902545i,+1.21437e+06-325075i,+854340-395655j,+1.10046e+06-181816j
2016-10-07 17:00:00 PDT,+3.48647e+06-875565i,+1.33938e+06-315757i,+940121-386590j,+1.20697e+06-173218j
2016-10-07 18:00:00 PDT,+3.64823e+06-860725i,+1.40723e+06-309380i,+984368-382331j,+1.25663e+06-169014j
2016-10-07 19:00:00 PDT,+3.68773e+06-856962i,+1.42627e+06-307324i,+995553-381335j,+1.26591e+06-168303j
2016-10-07 20:00:00 PDT,+3.43073e+06-880319i,+1.33013e+06-314875i,+928359-388898j,+1.17224e+06-176546j
2016-10-07 21:00:00 PDT,+3.03606e+06-912914i,+1.18169e+06-325577i,+823827-399740j,+1.03053e+06-187596j
2016-10-07 22:00:00 PDT,+2.6877e+06-938486i,+1.04817e+06-334003i,+731729-408638j,+907798-195844j
2016-10-07 23:00:00 PDT,+2.39223e+06-957848i,+930594-340721i,+652446-415588j,+809187-201539j
2016-10-08 00:00:00 PDT,+2.34921e+06-960502i,+912177-341833i,+640227-416503j,+796804-202166j
2016-10-08 01:00:00 PDT,+2.31228e+06-962731i,+896937-342660i,+630074-417310j,+785268-202761j
2016-10-08 02:00:00 PDT,+2.30783e+06-962997i,+895306-342732i,+628918-417416j,+783603-202849j
2016-10-08 03:00:00 PDT,+2.37206e+06-959183i,+916538-341994i,+644973-415849j,+810553-201339j
2016-10-08 04:00:00 PDT,+2.5502e+06-947957i,+981552-339093i,+691147-411464j,+877502-197401j
2016-10-08 05:00:00 PDT,+2.85038e+06-927181i,+1.09458e+06-332783i,+770611-404013j,+985196-190385j
2016-10-08 06:00:00 PDT,+2.96875e+06-918204i,+1.14977e+06-328299i,+804197-401336j,+1.01479e+06-188569j
2016-10-08 07:00:00 PDT,+2.82148e+06-929106i,+1.09385e+06-331615i,+765872-405217j,+961762-192273j
2016-10-08 08:00:00 PDT,+2.61096e+06-943802i,+1.00806e+06-336877i,+708111-410501j,+894794-196424j
2016-10-08 09:00:00 PDT,+2.49504e+06-951363i,+965654-338935i,+677978-413360j,+851409-199068j
2016-10-08 10:00:00 PDT,+2.49262e+06-951533i,+963727-339135i,+677066-413370j,+851829-199027j
2016-10-08 11:00:00 PDT,+2.47049e+06-952955i,+958247-339458i,+672423-413677j,+839825-199821j
2016-10-08 12:00:00 PDT,+2.45604e+06-953863i,+954014-339663i,+668911-413977j,+833114-200223j
2016-10-08 13:00:00 PDT,+2.44976e+06-954261i,+951679-339822i,+667230-414089j,+830850-200350j
2016-10-08 14:00:00 PDT,+2.51752e+06-949952i,+977352-338584i,+685045-412420j,+855122-198949j
2016-10-08 15:00:00 PDT,+2.83153e+06-928478i,+1.09581e+06-332363i,+768171-404231j,+967551-191885j
2016-10-08 16:00:00 PDT,+3.23669e+06-896972i,+1.25037e+06-322213i,+874701-393447j,+1.11162e+06-181311j
2016-10-08 17:00:00 PDT,+3.58898e+06-866168i,+1.38195e+06-312186i,+966183-383726j,+1.24085e+06-170256j
2016-10-08 18:00:00 PDT,+3.76123e+06-849897i,+1.45356e+06-305241i,+1.01307e+06-379113j,+1.29459e+06-165543j
2016-10-08 19:00:00 PDT,+3.8095e+06-845176i,+1.47616e+06-302744i,+1.02685e+06-377849j,+1.30648e+06-164582j
2016-10-08 20:00:00 PDT,+3.54753e+06-869777i,+1.37837e+06-310715i,+958487-385738j,+1.21067e+06-173324j
2016-10-08 21:00:00 PDT,+3.13921e+06-904716i,+1.22159e+06-322629i,+850777-397169j,+1.06684e+06-184919j
2016-10-08 22:00:00 PDT,+2.77373e+06-932414i,+1.08156e+06-331881i,+754220-406618j,+937949-193914j
2016-10-08 23:00:00 PDT,+2.46745e+06-953108i,+960166-339101i,+672220-413918j,+835063-200088j
