,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,january,0,1,weekday,
6,WECCbus157,1.0308628,-0.78748417,2.7897441,-0.26467118,january,1,1,weekday,
12,WECCbus157,1.0311546,-0.78293711,2.7542259,-0.26545054,january,2,1,weekday,
18,WECCbus157,1.0312396000000001,-0.78159198,2.7438372,-0.26566116,january,3,1,weekday,
24,WECCbus157,1.0312567,-0.78128365,2.7419367,-0.26567979,january,4,1,weekday,
30,WECCbus157,1.0310540000000001,-0.78449161,2.7665576,-0.265167,january,5,1,weekday,
36,WECCbus157,1.0304429,-0.79388389,2.8396056,-0.26336324,january,6,1,weekday,
42,WECCbus157,1.0293668,-0.80948095,2.9644858,-0.25935916,january,7,1,weekday,
48,WECCbus157,1.0288918,-0.81590095,3.0182916,-0.25714119,january,8,1,weekday,
54,WECCbus157,1.0292440999999999,-0.8114413,2.9772787999999997,-0.25901988,january,9,1,weekday,
60,WECCbus157,1.0299372,-0.80144732,2.898647,-0.26169599,january,10,1,weekday,
66,WECCbus157,1.0302646999999998,-0.79669229,2.8605711,-0.26294889,january,11,1,weekday,
72,WECCbus157,1.0302365,-0.79717588,2.8635797000000003,-0.26289822,january,12,1,weekday,
78,WECCbus157,1.0303095,-0.79614698,2.8547738,-0.26318995,january,13,1,weekday,
84,WECCbus157,1.0303285,-0.79589107,2.8523207000000004,-0.26326201,january,14,1,weekday,
90,WECCbus157,1.0303309,-0.79587907,2.851732,-0.26326548,january,15,1,weekday,
96,WECCbus157,1.0300543,-0.79999583,2.8839050999999998,-0.262316,january,16,1,weekday,
102,WECCbus157,1.0286955,-0.81952777,3.0351293999999998,-0.25686999,january,17,1,weekday,
108,WECCbus157,1.0265132,-0.8482618000000001,3.2617737,-0.24556227,january,18,1,weekday,
114,WECCbus157,1.0255528,-0.8600771,3.3556865,-0.23973188,january,19,1,weekday,
