,node,active_power_from,active_power_to,reactive_power_from,reactive_power_to,month,hour_of_day,day_of_month,daytype,timezone,line
0,WECClink156-157,2.3423163,-2.3407193,-0.0051990458000000005,0.10155085,january,0,1,weekday,,WECClink156-157
6,WECClink156-157,2.1162361,-2.1149153999999997,-0.37358146,0.45326459,january,1,1,weekday,,WECClink156-157
12,WECClink156-157,2.0808801,-2.0796023,-0.37442202,0.45151162,january,2,1,weekday,,WECClink156-157
18,WECClink156-157,2.0705386999999997,-2.0692734,-0.37464516,0.45098459,january,3,1,weekday,,WECClink156-157
24,WECClink156-157,2.068648,-2.0673849,-0.37465278,0.45085474,january,4,1,weekday,,WECClink156-157
30,WECClink156-157,2.0931558,-2.0918633,-0.37411669999999997,0.45210123,january,5,1,weekday,,WECClink156-157
36,WECClink156-157,2.1658641,-2.1644818,-0.37219848,0.45559849999999996,january,6,1,weekday,,WECClink156-157
42,WECClink156-157,2.2901507000000003,-2.2886076,-0.36781271,0.46091232,january,7,1,weekday,,WECClink156-157
48,WECClink156-157,2.2797227,-2.2781938,-0.36745994,0.45970497,january,8,1,weekday,,WECClink156-157
54,WECClink156-157,1.8001733,-1.7992115000000002,-0.37436218,0.43239009,january,9,1,weekday,,WECClink156-157
60,WECClink156-157,1.4937032,-1.4930325,-0.36991902,0.41038724,january,10,1,weekday,,WECClink156-157
66,WECClink156-157,1.2157798,-1.2153260000000001,-0.35991014,0.38728811,january,11,1,weekday,,WECClink156-157
72,WECClink156-157,1.1167867,-1.1163996,-0.35501152,0.37837048,january,12,1,weekday,,WECClink156-157
78,WECClink156-157,1.1293414,-1.1289461,-0.35579512,0.37964698,january,13,1,weekday,,WECClink156-157
84,WECClink156-157,1.1580793,-1.157665,-0.35729263,0.38228936,january,14,1,weekday,,WECClink156-157
90,WECClink156-157,1.3308988000000002,-1.3303604,-0.36506259999999996,0.39754364,january,15,1,weekday,,WECClink156-157
96,WECClink156-157,1.6363153,-1.6355158,-0.37339491,0.42163328,january,16,1,weekday,,WECClink156-157
102,WECClink156-157,2.2802477000000003,-2.2787178,-0.36815121,0.46045636,january,17,1,weekday,,WECClink156-157
108,WECClink156-157,2.5858695,-2.5839053,-0.35322232,0.47172866,january,18,1,weekday,,WECClink156-157
114,WECClink156-157,2.6792601,-2.6771517000000005,-0.34694022,0.47415048,january,19,1,weekday,,WECClink156-157
120,WECClink156-157,2.6697267000000005,-2.6676332,-0.34759405,0.47389933,january,20,1,weekday,,WECClink156-157
126,WECClink156-157,2.6320792,-2.6300444,-0.35008737,0.47285617,january,21,1,weekday,,WECClink156-157
132,WECClink156-157,2.5286132,-2.5267348999999997,-0.35656063,0.46988947,january,22,1,weekday,,WECClink156-157
138,WECClink156-157,2.370205,-2.3685532000000005,-0.3646841,0.46434200000000003,january,23,1,weekday,,WECClink156-157
144,WECClink156-157,2.2307193,-2.2292542,-0.37023478,0.45862918,january,0,3,weekend,,WECClink156-157
150,WECClink156-157,2.1381495999999998,-2.1368019,-0.37303753,0.45435168,january,1,3,weekend,,WECClink156-157
156,WECClink156-157,2.1020866000000002,-2.1007832000000004,-0.37392488,0.45256474,january,2,3,weekend,,WECClink156-157
162,WECClink156-157,2.0910297,-2.0897397,-0.37417411,0.45200337,january,3,3,weekend,,WECClink156-157
168,WECClink156-157,2.0887511,-2.0874639,-0.37422858,0.45189145,january,4,3,weekend,,WECClink156-157
174,WECClink156-157,2.1154497,-2.11413,-0.37356173,0.45318619,january,5,3,weekend,,WECClink156-157
180,WECClink156-157,2.1912876,-2.1898731,-0.37140077,0.45673933,january,6,3,weekend,,WECClink156-157
186,WECClink156-157,2.3185563,-2.3169751,-0.36668484,0.4620827,january,7,3,weekend,,WECClink156-157
192,WECClink156-157,2.3030437000000004,-2.3014837000000004,-0.36649829,0.46061714,january,8,3,weekend,,WECClink156-157
198,WECClink156-157,1.7914159,-1.7904631999999998,-0.37422059,0.43169976,january,9,3,weekend,,WECClink156-157
204,WECClink156-157,1.4778246000000002,-1.4771674,-0.36945476,0.4091031,january,10,3,weekend,,WECClink156-157
210,WECClink156-157,1.2019294,-1.2014853,-0.3590482,0.38584121,january,11,3,weekend,,WECClink156-157
216,WECClink156-157,1.1043745,-1.1039953000000002,-0.35406406,0.37693952,january,12,3,weekend,,WECClink156-157
222,WECClink156-157,1.1185825,-1.1181941999999998,-0.35494806,0.37837548,january,13,3,weekend,,WECClink156-157
228,WECClink156-157,1.1414151000000001,-1.1410118999999999,-0.3561578,0.38048411,january,14,3,weekend,,WECClink156-157
234,WECClink156-157,1.3133246,-1.3127997,-0.36410692,0.39577670000000004,january,15,3,weekend,,WECClink156-157
240,WECClink156-157,1.6205587,-1.619774,-0.37291622,0.42025915,january,16,3,weekend,,WECClink156-157
246,WECClink156-157,2.267863,-2.2663495,-0.36849204,0.45980639,january,17,3,weekend,,WECClink156-157
252,WECClink156-157,2.6229396,-2.6209187999999997,-0.35076799999999997,0.47268955,january,18,3,weekend,,WECClink156-157
258,WECClink156-157,2.7287654,-2.7265782000000005,-0.3432634,0.47522395,january,19,3,weekend,,WECClink156-157
264,WECClink156-157,2.7187388,-2.7165677,-0.34399627,0.47498598,january,20,3,weekend,,WECClink156-157
270,WECClink156-157,2.6800652,-2.6779555,-0.3467482,0.47403379999999995,january,21,3,weekend,,WECClink156-157
276,WECClink156-157,2.57085,-2.5689086,-0.35399054,0.47112375,january,22,3,weekend,,WECClink156-157
282,WECClink156-157,2.4047932,-2.4030932999999997,-0.36312026,0.46568425,january,23,3,weekend,,WECClink156-157
0,WECClink157-161,-0.68542557,0.69058221,-0.32008771,0.018329072,january,0,1,weekday,,WECClink157-161
6,WECClink157-161,-0.67482874,0.67945875,-0.18859341,-0.12379188,january,1,1,weekday,,WECClink157-161
12,WECClink157-161,-0.67462355,0.67924748,-0.18606108,-0.12649156,january,2,1,weekday,,WECClink157-161
18,WECClink157-161,-0.67456377,0.67918595,-0.18532343,-0.12727771,january,3,1,weekday,,WECClink157-161
24,WECClink157-161,-0.67455173,0.67917357,-0.18517495,-0.12743594,january,4,1,weekday,,WECClink157-161
30,WECClink157-161,-0.6746943,0.67932031,-0.18693423,-0.12556086,january,5,1,weekday,,WECClink157-161
36,WECClink157-161,-0.67512377,0.67976279,-0.19223526,-0.11990695,january,6,1,weekday,,WECClink157-161
42,WECClink157-161,-0.67587823,0.6805416999999999,-0.20155316,-0.10995419,january,7,1,weekday,,WECClink157-161
48,WECClink157-161,-0.67578755,0.68044797,-0.20043282,-0.11115185,january,8,1,weekday,,WECClink157-161
54,WECClink157-161,-0.67299363,0.67757454,-0.16596405,-0.14786857,january,9,1,weekday,,WECClink157-161
60,WECClink157-161,-0.67151954,0.67606953,-0.14781532,-0.16710031,january,10,1,weekday,,WECClink157-161
66,WECClink157-161,-0.67038528,0.67491656,-0.1338677,-0.18183381,january,11,1,weekday,,WECClink157-161
72,WECClink157-161,-0.67002647,0.67455275,-0.12945869,-0.18648291,january,12,1,weekday,,WECClink157-161
78,WECClink157-161,-0.67007408,0.674601,-0.13004361,-0.18586637,january,13,1,weekday,,WECClink157-161
84,WECClink157-161,-0.67017681,0.67470514,-0.13130591,-0.18453559,january,14,1,weekday,,WECClink157-161
90,WECClink157-161,-0.67084074,0.67537901,-0.13946656,-0.1759243,january,15,1,weekday,,WECClink157-161
96,WECClink157-161,-0.67219268,0.67675586,-0.15609977,-0.15833002,january,16,1,weekday,,WECClink157-161
102,WECClink157-161,-0.67581693,0.68047834,-0.20079586,-0.11076379,january,17,1,weekday,,WECClink157-161
108,WECClink157-161,-0.67786843,0.6826063,-0.22616639,-0.083573864,january,18,1,weekday,,WECClink157-161
114,WECClink157-161,-0.6785348000000001,0.68330084,-0.2344186,-0.07469962299999999,january,19,1,weekday,,WECClink157-161
120,WECClink157-161,-0.67846342,0.68322637,-0.23353441,-0.075651179,january,20,1,weekday,,WECClink157-161
126,WECClink157-161,-0.67819339,0.6829448,-0.23018999,-0.079248835,january,21,1,weekday,,WECClink157-161
132,WECClink157-161,-0.67746237,0.68218389,-0.2211406,-0.088971173,january,22,1,weekday,,WECClink157-161
138,WECClink157-161,-0.67639902,0.68108057,-0.20798915,-0.10306880000000002,january,23,1,weekday,,WECClink157-161
144,WECClink157-161,-0.67551604,0.68016751,-0.19707904,-0.11473547,january,0,3,weekend,,WECClink157-161
150,WECClink157-161,-0.67495913,0.67959308,-0.19020275,-0.12207547,january,1,3,weekend,,WECClink157-161
156,WECClink157-161,-0.67474708,0.67937465,-0.18758548,-0.12486659,january,2,3,weekend,,WECClink157-161
162,WECClink157-161,-0.67468231,0.67930796,-0.18678616,-0.12571871,january,3,3,weekend,,WECClink157-161
168,WECClink157-161,-0.67466915,0.67929442,-0.18662384,-0.12589172,january,4,3,weekend,,WECClink157-161
174,WECClink157-161,-0.67482473,0.67945462,-0.18854391,-0.12384466,january,5,3,weekend,,WECClink157-161
180,WECClink157-161,-0.67527683,0.67992065,-0.1941251,-0.11788985,january,6,3,weekend,,WECClink157-161
186,WECClink157-161,-0.67605967,0.68072933,-0.20379506,-0.10755676,january,7,3,weekend,,WECClink157-161
192,WECClink157-161,-0.67593294,0.68059827,-0.20222914,-0.10923143,january,8,3,weekend,,WECClink157-161
198,WECClink157-161,-0.67295266,0.67753261,-0.16545929,-0.14840438,january,9,3,weekend,,WECClink157-161
204,WECClink157-161,-0.67145689,0.67600573,-0.14704455,-0.16791556,january,10,3,weekend,,WECClink157-161
210,WECClink157-161,-0.67034017,0.6748708000000001,-0.13331329,-0.18241863,january,11,3,weekend,,WECClink157-161
216,WECClink157-161,-0.66998898,0.67451476,-0.1289981,-0.18696836,january,12,3,weekend,,WECClink157-161
222,WECClink157-161,-0.67004211,0.67456859,-0.12965076,-0.18628047,january,13,3,weekend,,WECClink157-161
228,WECClink157-161,-0.67012365,0.67465124,-0.1306526,-0.18522438,january,14,3,weekend,,WECClink157-161
234,WECClink157-161,-0.67077501,0.67531223,-0.13865842,-0.17677768,january,15,3,weekend,,WECClink157-161
240,WECClink157-161,-0.67212023,0.67668191,-0.15520786,-0.15927491,january,16,3,weekend,,WECClink157-161
246,WECClink157-161,-0.67573606,0.68039477,-0.19979682,-0.11183163,january,17,3,weekend,,WECClink157-161
252,WECClink157-161,-0.67813293,0.68288179,-0.22944125,-0.080053943,january,18,3,weekend,,WECClink157-161
258,WECClink157-161,-0.67890181,0.68368407,-0.2389659,-0.06980316,january,19,3,weekend,,WECClink157-161
264,WECClink157-161,-0.67882528,0.68360412,-0.2380176,-0.070824652,january,20,3,weekend,,WECClink157-161
270,WECClink157-161,-0.67854362,0.68331005,-0.23452787,-0.07458201,january,21,3,weekend,,WECClink157-161
276,WECClink157-161,-0.6777588999999999,0.68249231,-0.22481062,-0.08503039999999999,january,22,3,weekend,,WECClink157-161
282,WECClink157-161,-0.67662781,0.68131762,-0.21081772,-0.10003989999999999,january,23,3,weekend,,WECClink157-161
0,WECClink42-57,0.90509683,-0.90308352,0.41169101,-0.44989797,january,0,1,weekday,,WECClink42-57
6,WECClink42-57,0.85904112,-0.85750815,0.20402775,-0.25180755,january,1,1,weekday,,WECClink42-57
12,WECClink42-57,0.85549513,-0.85397638,0.20184294,-0.24986892,january,2,1,weekday,,WECClink42-57
18,WECClink42-57,0.8544088,-0.85289439,0.20117998,-0.24928097,january,3,1,weekday,,WECClink42-57
24,WECClink42-57,0.85401923,-0.85250638,0.20093797,-0.24906595,january,4,1,weekday,,WECClink42-57
30,WECClink42-57,0.85663949,-0.85511615,0.20255821,-0.25050459,january,5,1,weekday,,WECClink42-57
36,WECClink42-57,0.86406401,-0.86251068,0.20719799,-0.25462494,january,6,1,weekday,,WECClink42-57
42,WECClink42-57,0.8753605999999999,-0.87376075,0.21446825,-0.2610888,january,7,1,weekday,,WECClink42-57
48,WECClink42-57,0.87017708,-0.86859893,0.21091134,-0.25790995,january,8,1,weekday,,WECClink42-57
54,WECClink42-57,0.80795782,-0.80662054,0.17445684,-0.22562154,january,9,1,weekday,,WECClink42-57
60,WECClink42-57,0.7687446,-0.7675434,0.15623253,-0.20972821,january,10,1,weekday,,WECClink42-57
66,WECClink42-57,0.73249927,-0.73141423,0.14257512,-0.19804208,january,11,1,weekday,,WECClink42-57
72,WECClink42-57,0.71935587,-0.71831081,0.13838167,-0.19452207,january,12,1,weekday,,WECClink42-57
78,WECClink42-57,0.721776,-0.72072364,0.13914796,-0.19516539,january,13,1,weekday,,WECClink42-57
84,WECClink42-57,0.72571336,-0.72464908,0.14039231,-0.19620888,january,14,1,weekday,,WECClink42-57
90,WECClink42-57,0.74950185,-0.74836337,0.14866097,-0.20322291,january,15,1,weekday,,WECClink42-57
96,WECClink42-57,0.79022706,-0.78895265,0.16583677,-0.21808018,january,16,1,weekday,,WECClink42-57
102,WECClink42-57,0.87451214,-0.87291601,0.21375442,-0.26044079,january,17,1,weekday,,WECClink42-57
108,WECClink42-57,0.90761474,-0.90587541,0.23699877,-0.28119455,january,18,1,weekday,,WECClink42-57
114,WECClink42-57,0.91647314,-0.91469372,0.24361777,-0.28711553,january,19,1,weekday,,WECClink42-57
120,WECClink42-57,0.91530397,-0.9135299000000001,0.24272979,-0.28632061,january,20,1,weekday,,WECClink42-57
126,WECClink42-57,0.9115383,-0.9097813,0.23992070000000004,-0.28380869,january,21,1,weekday,,WECClink42-57
132,WECClink42-57,0.90099562,-0.89928573,0.23217375,-0.27688195,january,22,1,weekday,,WECClink42-57
138,WECClink42-57,0.88482822,-0.88318844,0.22083156,-0.26675875,january,23,1,weekday,,WECClink42-57
144,WECClink42-57,0.87073545,-0.8691548000000001,0.21144498,-0.25839847,january,0,3,weekend,,WECClink42-57
150,WECClink42-57,0.86144967,-0.85990696,0.20554819,-0.25315908,january,1,3,weekend,,WECClink42-57
156,WECClink42-57,0.85767795,-0.85615043,0.20320559,-0.25107968,january,2,3,weekend,,WECClink42-57
162,WECClink42-57,0.85646528,-0.85494262,0.20246761,-0.25042561,january,3,3,weekend,,WECClink42-57
168,WECClink42-57,0.856243,-0.85472123,0.20233054,-0.25030396,january,4,3,weekend,,WECClink42-57
174,WECClink42-57,0.85889028,-0.85735788,0.20397431,-0.25176352,january,5,3,weekend,,WECClink42-57
180,WECClink42-57,0.8665454,-0.86498192,0.20879933,-0.25605008,january,6,3,weekend,,WECClink42-57
186,WECClink42-57,0.87836643,-0.87675396,0.21650221,-0.26290322,january,7,3,weekend,,WECClink42-57
192,WECClink42-57,0.87225337,-0.87066663,0.21227627,-0.25912557,january,8,3,weekend,,WECClink42-57
198,WECClink42-57,0.80698369,-0.80564989,0.17400591,-0.22522998,january,9,3,weekend,,WECClink42-57
204,WECClink42-57,0.76732267,-0.76612615,0.15569649,-0.20927135,january,10,3,weekend,,WECClink42-57
210,WECClink42-57,0.73073111,-0.72965148,0.14203784,-0.19759549999999998,january,11,3,weekend,,WECClink42-57
216,WECClink42-57,0.71750374,-0.71646418,0.13787735,-0.19410973,january,12,3,weekend,,WECClink42-57
222,WECClink42-57,0.72016314,-0.71911559,0.13870812,-0.19480595,january,13,3,weekend,,WECClink42-57
228,WECClink42-57,0.72335654,-0.72229935,0.13970463,-0.19564029,january,14,3,weekend,,WECClink42-57
234,WECClink42-57,0.74688607,-0.74575589,0.14773779,-0.20244006,january,15,3,weekend,,WECClink42-57
240,WECClink42-57,0.78785121,-0.78658502,0.16477322,-0.21715697,january,16,3,weekend,,WECClink42-57
246,WECClink42-57,0.87263323,-0.87104491,0.21252213,-0.25934401,january,17,3,weekend,,WECClink42-57
252,WECClink42-57,0.91127023,-0.90951443,0.23972759999999999,-0.28363646,january,18,3,weekend,,WECClink42-57
258,WECClink42-57,0.92146692,-0.91966451,0.24746665,-0.29056348,january,19,3,weekend,,WECClink42-57
264,WECClink42-57,0.92023296,-0.91843625,0.24651338,-0.28970962,january,20,3,weekend,,WECClink42-57
270,WECClink42-57,0.91650046,-0.91472087,0.24368355,-0.28717778,january,21,3,weekend,,WECClink42-57
276,WECClink42-57,0.90535498,-0.90362572,0.23536722,-0.27973804,january,22,3,weekend,,WECClink42-57
282,WECClink42-57,0.88865133,-0.8869952,0.22346416,-0.26910699,january,23,3,weekend,,WECClink42-57
0,WECClink50-57,1.4135087,-1.4127604,0.0015870004,-0.0023810819,january,0,1,weekday,,WECClink50-57
6,WECClink50-57,0.98754364,-0.98703156,-0.66640976,0.66297997,january,1,1,weekday,,WECClink50-57
12,WECClink50-57,0.95876096,-0.95826797,-0.66935056,0.66572803,january,2,1,weekday,,WECClink50-57
18,WECClink50-57,0.94994452,-0.94945726,-0.67023243,0.66655202,january,3,1,weekday,,WECClink50-57
