,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,january,0,1,weekday,
6,WECCbus157,1.0308628,-0.78748417,2.7897441,-0.26467118,january,1,1,weekday,
12,WECCbus157,1.0311546,-0.78293711,2.7542259,-0.26545054,january,2,1,weekday,
18,WECCbus157,1.0312396000000001,-0.78159198,2.7438372,-0.26566116,january,3,1,weekday,
24,WECCbus157,1.0312567,-0.78128365,2.7419367,-0.26567979,january,4,1,weekday,
30,WECCbus157,1.0310540000000001,-0.78449161,2.7665576,-0.265167,january,5,1,weekday,
36,WECCbus157,1.0304429,-0.79388389,2.8396056,-0.26336324,january,6,1,weekday,
42,WECCbus157,1.0293668,-0.80948095,2.9644858,-0.25935916,january,7,1,weekday,
48,WECCbus157,1.0294963,-0.80676698,2.9539812999999997,-0.25927216,january,8,1,weekday,
54,WECCbus157,1.0334644,-0.74016224,2.4722051,-0.26642605,january,9,1,weekday,
60,WECCbus157,1.0355411,-0.69756992,2.164552,-0.26257192,january,10,1,weekday,
66,WECCbus157,1.0371313,-0.6585276999999999,1.8857113,-0.25342041,january,11,1,weekday,
72,WECCbus157,1.037633,-0.64448806,1.7864259999999998,-0.24891179,january,12,1,weekday,
78,WECCbus157,1.0375665,-0.64652958,1.7990202000000002,-0.24960337,january,13,1,weekday,
84,WECCbus157,1.0374229,-0.65064372,1.8278418,-0.25098345,january,14,1,weekday,
90,WECCbus157,1.0364936,-0.67539409,2.0012011999999997,-0.25807708,january,15,1,weekday,
96,WECCbus157,1.0345942,-0.71849887,2.3077084,-0.26553351,january,16,1,weekday,
102,WECCbus157,1.0294543999999999,-0.80820159,2.9545347,-0.2596605,january,17,1,weekday,
108,WECCbus157,1.0265132,-0.8482618000000001,3.2617737,-0.24556227,january,18,1,weekday,
114,WECCbus157,1.0255528,-0.8600771,3.3556865,-0.23973188,january,19,1,weekday,
