,node,active_power_from,active_power_to,reactive_power_from,reactive_power_to,month,hour_of_day,day_of_month,daytype,timezone,line
0,WECClink156-157,2.3423163,-2.3407193,-0.0051990458000000005,0.10155085,january,0,1,weekday,,WECClink156-157
6,WECClink156-157,2.1162361,-2.1149153999999997,-0.37358146,0.45326459,january,1,1,weekday,,WECClink156-157
12,WECClink156-157,2.0808801,-2.0796023,-0.37442202,0.45151162,january,2,1,weekday,,WECClink156-157
18,WECClink156-157,2.0705386999999997,-2.0692734,-0.37464516,0.45098459,january,3,1,weekday,,WECClink156-157
24,WECClink156-157,2.068648,-2.0673849,-0.37465278,0.45085474,january,4,1,weekday,,WECClink156-157
30,WECClink156-157,2.0931558,-2.0918633,-0.37411669999999997,0.45210123,january,5,1,weekday,,WECClink156-157
36,WECClink156-157,2.1658641,-2.1644818,-0.37219848,0.45559849999999996,january,6,1,weekday,,WECClink156-157
42,WECClink156-157,2.2901507000000003,-2.2886076,-0.36781271,0.46091232,january,7,1,weekday,,WECClink156-157
48,WECClink156-157,2.3257830000000004,-2.3241922,-0.36610852,0.46208857,january,8,1,weekday,,WECClink156-157
54,WECClink156-157,2.1672119999999997,-2.165828,-0.37214808,0.45564918,january,9,1,weekday,,WECClink156-157
60,WECClink156-157,2.0269436,-2.02573,-0.37551194,0.44873175,january,10,1,weekday,,WECClink156-157
66,WECClink156-157,1.9238629,-1.922767,-0.37709551,0.44321406,january,11,1,weekday,,WECClink156-157
72,WECClink156-157,1.899014,-1.8979455000000003,-0.37736938,0.44183346,january,12,1,weekday,,WECClink156-157
78,WECClink156-157,1.8967807,-1.8957147,-0.3774546,0.44177237,january,13,1,weekday,,WECClink156-157
84,WECClink156-157,1.902506,-1.9014337,-0.37743435,0.44213171,january,14,1,weekday,,WECClink156-157
90,WECClink156-157,1.9481721999999997,-1.9470491,-0.37696717,0.44472978,january,15,1,weekday,,WECClink156-157
96,WECClink156-157,2.0538583999999998,-2.0526129,-0.37524583,0.45038891,january,16,1,weekday,,WECClink156-157
102,WECClink156-157,2.3391827000000003,-2.3375733,-0.36628761,0.46338522,january,17,1,weekday,,WECClink156-157
108,WECClink156-157,2.5858695,-2.5839053,-0.35322232,0.47172866,january,18,1,weekday,,WECClink156-157
114,WECClink156-157,2.6792601,-2.6771517000000005,-0.34694022,0.47415048,january,19,1,weekday,,WECClink156-157
120,WECClink156-157,2.6697267000000005,-2.6676332,-0.34759405,0.47389933,january,20,1,weekday,,WECClink156-157
126,WECClink156-157,2.6320792,-2.6300444,-0.35008737,0.47285617,january,21,1,weekday,,WECClink156-157
132,WECClink156-157,2.5286132,-2.5267348999999997,-0.35656063,0.46988947,january,22,1,weekday,,WECClink156-157
138,WECClink156-157,2.370205,-2.3685532000000005,-0.3646841,0.46434200000000003,january,23,1,weekday,,WECClink156-157
144,WECClink156-157,2.2307193,-2.2292542,-0.37023478,0.45862918,january,0,3,weekend,,WECClink156-157
150,WECClink156-157,2.1381495999999998,-2.1368019,-0.37303753,0.45435168,january,1,3,weekend,,WECClink156-157
156,WECClink156-157,2.1020866000000002,-2.1007832000000004,-0.37392488,0.45256474,january,2,3,weekend,,WECClink156-157
162,WECClink156-157,2.0910297,-2.0897397,-0.37417411,0.45200337,january,3,3,weekend,,WECClink156-157
168,WECClink156-157,2.0887511,-2.0874639,-0.37422858,0.45189145,january,4,3,weekend,,WECClink156-157
174,WECClink156-157,2.1154497,-2.11413,-0.37356173,0.45318619,january,5,3,weekend,,WECClink156-157
180,WECClink156-157,2.1912876,-2.1898731,-0.37140077,0.45673933,january,6,3,weekend,,WECClink156-157
186,WECClink156-157,2.3185563,-2.3169751,-0.36668484,0.4620827,january,7,3,weekend,,WECClink156-157
192,WECClink156-157,2.351464,-2.3498382,-0.36493273,0.46302058,january,8,3,weekend,,WECClink156-157
198,WECClink156-157,2.156421,-2.1550506,-0.37241487,0.45509945,january,9,3,weekend,,WECClink156-157
204,WECClink156-157,2.0100417,-2.0088479,-0.37579906,0.44782835,january,10,3,weekend,,WECClink156-157
210,WECClink156-157,1.9095244999999998,-1.9084444999999999,-0.37709276,0.44225142,january,11,3,weekend,,WECClink156-157
216,WECClink156-157,1.8863793999999998,-1.8853248,-0.37728409,0.44091212,january,12,3,weekend,,WECClink156-157
222,WECClink156-157,1.883489,-1.8824375,-0.37734987,0.4407891,january,13,3,weekend,,WECClink156-157
228,WECClink156-157,1.8856129000000001,-1.8845591,-0.37732204,0.44090052,january,14,3,weekend,,WECClink156-157
234,WECClink156-157,1.9303734000000001,-1.9292703000000002,-0.37695221,0.44350774,january,15,3,weekend,,WECClink156-157
240,WECClink156-157,2.0368546000000003,-2.0356293,-0.37539822,0.44932349,january,16,3,weekend,,WECClink156-157
246,WECClink156-157,2.3247044999999997,-2.3231148,-0.36684278,0.46275291,january,17,3,weekend,,WECClink156-157
252,WECClink156-157,2.6229396,-2.6209187999999997,-0.35076799999999997,0.47268955,january,18,3,weekend,,WECClink156-157
258,WECClink156-157,2.7287654,-2.7265782000000005,-0.3432634,0.47522395,january,19,3,weekend,,WECClink156-157
264,WECClink156-157,2.7187388,-2.7165677,-0.34399627,0.47498598,january,20,3,weekend,,WECClink156-157
270,WECClink156-157,2.6800652,-2.6779555,-0.3467482,0.47403379999999995,january,21,3,weekend,,WECClink156-157
276,WECClink156-157,2.57085,-2.5689086,-0.35399054,0.47112375,january,22,3,weekend,,WECClink156-157
282,WECClink156-157,2.4047932,-2.4030932999999997,-0.36312026,0.46568425,january,23,3,weekend,,WECClink156-157
0,WECClink157-161,-0.68542557,0.69058221,-0.32008771,0.018329072,january,0,1,weekday,,WECClink157-161
6,WECClink157-161,-0.67482874,0.67945875,-0.18859341,-0.12379188,january,1,1,weekday,,WECClink157-161
12,WECClink157-161,-0.67462355,0.67924748,-0.18606108,-0.12649156,january,2,1,weekday,,WECClink157-161
18,WECClink157-161,-0.67456377,0.67918595,-0.18532343,-0.12727771,january,3,1,weekday,,WECClink157-161
24,WECClink157-161,-0.67455173,0.67917357,-0.18517495,-0.12743594,january,4,1,weekday,,WECClink157-161
30,WECClink157-161,-0.6746943,0.67932031,-0.18693423,-0.12556086,january,5,1,weekday,,WECClink157-161
36,WECClink157-161,-0.67512377,0.67976279,-0.19223526,-0.11990695,january,6,1,weekday,,WECClink157-161
42,WECClink157-161,-0.67587823,0.6805416999999999,-0.20155316,-0.10995419,january,7,1,weekday,,WECClink157-161
48,WECClink157-161,-0.67609579,0.6807667,-0.20424143,-0.10707930000000002,january,8,1,weekday,,WECClink157-161
54,WECClink157-161,-0.67512778,0.67976692,-0.19228471,-0.11985418,january,9,1,weekday,,WECClink157-161
60,WECClink157-161,-0.6743145,0.67892955,-0.18224809,-0.13055397,january,10,1,weekday,,WECClink157-161
66,WECClink157-161,-0.67374911,0.67834879,-0.17527520000000002,-0.137975,january,11,1,weekday,,WECClink157-161
72,WECClink157-161,-0.67361777,0.67821405,-0.173656,-0.13969679,january,12,1,weekday,,WECClink157-161
78,WECClink157-161,-0.67360798,0.67820401,-0.17353531,-0.13982511,january,13,1,weekday,,WECClink157-161
84,WECClink157-161,-0.67363934,0.67823617,-0.17392190000000002,-0.13941409,january,14,1,weekday,,WECClink157-161
90,WECClink157-161,-0.67388599,0.6784893,-0.17696305,-0.13617963,january,15,1,weekday,,WECClink157-161
96,WECClink157-161,-0.67447491,0.67909453,-0.18422708,-0.12844592,january,16,1,weekday,,WECClink157-161
102,WECClink157-161,-0.6762100999999999,0.68088498,-0.20565412,-0.10556792,january,17,1,weekday,,WECClink157-161
108,WECClink157-161,-0.67786843,0.6826063,-0.22616639,-0.083573864,january,18,1,weekday,,WECClink157-161
114,WECClink157-161,-0.6785348000000001,0.68330084,-0.2344186,-0.07469962299999999,january,19,1,weekday,,WECClink157-161
120,WECClink157-161,-0.67846342,0.68322637,-0.23353441,-0.075651179,january,20,1,weekday,,WECClink157-161
126,WECClink157-161,-0.67819339,0.6829448,-0.23018999,-0.079248835,january,21,1,weekday,,WECClink157-161
132,WECClink157-161,-0.67746237,0.68218389,-0.2211406,-0.088971173,january,22,1,weekday,,WECClink157-161
138,WECClink157-161,-0.67639902,0.68108057,-0.20798915,-0.10306880000000002,january,23,1,weekday,,WECClink157-161
144,WECClink157-161,-0.67551604,0.68016751,-0.19707904,-0.11473547,january,0,3,weekend,,WECClink157-161
150,WECClink157-161,-0.67495913,0.67959308,-0.19020275,-0.12207547,january,1,3,weekend,,WECClink157-161
156,WECClink157-161,-0.67474708,0.67937465,-0.18758548,-0.12486659,january,2,3,weekend,,WECClink157-161
162,WECClink157-161,-0.67468231,0.67930796,-0.18678616,-0.12571871,january,3,3,weekend,,WECClink157-161
168,WECClink157-161,-0.67466915,0.67929442,-0.18662384,-0.12589172,january,4,3,weekend,,WECClink157-161
174,WECClink157-161,-0.67482473,0.67945462,-0.18854391,-0.12384466,january,5,3,weekend,,WECClink157-161
180,WECClink157-161,-0.67527683,0.67992065,-0.1941251,-0.11788985,january,6,3,weekend,,WECClink157-161
186,WECClink157-161,-0.67605967,0.68072933,-0.20379506,-0.10755676,january,7,3,weekend,,WECClink157-161
192,WECClink157-161,-0.67625802,0.68093458,-0.20624633,-0.10493419999999999,january,8,3,weekend,,WECClink157-161
198,WECClink157-161,-0.67506582,0.67970304,-0.19151979,-0.12067039,january,9,3,weekend,,WECClink157-161
204,WECClink157-161,-0.67422237,0.67883484,-0.18111156,-0.13176425,january,10,3,weekend,,WECClink157-161
210,WECClink157-161,-0.67367315,0.67827086,-0.17433878,-0.13897082,january,11,3,weekend,,WECClink157-161
216,WECClink157-161,-0.67355079,0.67814535,-0.1728303,-0.14057460000000002,january,12,3,weekend,,WECClink157-161
222,WECClink157-161,-0.67353746,0.67813168,-0.17266602,-0.14074923,january,13,3,weekend,,WECClink157-161
228,WECClink157-161,-0.67354858,0.67814309,-0.17280312,-0.14060349,january,14,3,weekend,,WECClink157-161
234,WECClink157-161,-0.67378823,0.67838894,-0.17575759,-0.13746194,january,15,3,weekend,,WECClink157-161
240,WECClink157-161,-0.67437646,0.67899326,-0.18301243,-0.12973989,january,16,3,weekend,,WECClink157-161
246,WECClink157-161,-0.67611515,0.68078672,-0.2044806,-0.10682345,january,17,3,weekend,,WECClink157-161
252,WECClink157-161,-0.67813293,0.68288179,-0.22944125,-0.080053943,january,18,3,weekend,,WECClink157-161
258,WECClink157-161,-0.67890181,0.68368407,-0.2389659,-0.06980316,january,19,3,weekend,,WECClink157-161
264,WECClink157-161,-0.67882528,0.68360412,-0.2380176,-0.070824652,january,20,3,weekend,,WECClink157-161
270,WECClink157-161,-0.67854362,0.68331005,-0.23452787,-0.07458201,january,21,3,weekend,,WECClink157-161
276,WECClink157-161,-0.6777588999999999,0.68249231,-0.22481062,-0.08503039999999999,january,22,3,weekend,,WECClink157-161
282,WECClink157-161,-0.67662781,0.68131762,-0.21081772,-0.10003989999999999,january,23,3,weekend,,WECClink157-161
0,WECClink42-57,0.90509683,-0.90308352,0.41169101,-0.44989797,january,0,1,weekday,,WECClink42-57
6,WECClink42-57,0.85904112,-0.85750815,0.20402775,-0.25180755,january,1,1,weekday,,WECClink42-57
12,WECClink42-57,0.85549513,-0.85397638,0.20184294,-0.24986892,january,2,1,weekday,,WECClink42-57
18,WECClink42-57,0.8544088,-0.85289439,0.20117998,-0.24928097,january,3,1,weekday,,WECClink42-57
24,WECClink42-57,0.85401923,-0.85250638,0.20093797,-0.24906595,january,4,1,weekday,,WECClink42-57
30,WECClink42-57,0.85663949,-0.85511615,0.20255821,-0.25050459,january,5,1,weekday,,WECClink42-57
36,WECClink42-57,0.86406401,-0.86251068,0.20719799,-0.25462494,january,6,1,weekday,,WECClink42-57
42,WECClink42-57,0.8753605999999999,-0.87376075,0.21446825,-0.2610888,january,7,1,weekday,,WECClink42-57
48,WECClink42-57,0.87750558,-0.87589677,0.21587997,-0.26234517,january,8,1,weekday,,WECClink42-57
54,WECClink42-57,0.86370632,-0.86215434,0.20706084,-0.25451053,january,9,1,weekday,,WECClink42-57
60,WECClink42-57,0.84975881,-0.84826269,0.19850427,-0.24692064,january,10,1,weekday,,WECClink42-57
66,WECClink42-57,0.83975352,-0.83829642,0.19266541,-0.24175588,january,11,1,weekday,,WECClink42-57
72,WECClink42-57,0.83747266,-0.83602434,0.19137220000000002,-0.24061405,january,12,1,weekday,,WECClink42-57
78,WECClink42-57,0.83763499,-0.83618606,0.19145193,-0.24068334,january,13,1,weekday,,WECClink42-57
84,WECClink42-57,0.83839417,-0.83694234,0.19187233,-0.24105364,january,14,1,weekday,,WECClink42-57
90,WECClink42-57,0.84318335,-0.84171301,0.19460719,-0.24346917,january,15,1,weekday,,WECClink42-57
96,WECClink42-57,0.85395724,-0.85244455,0.20097526,-0.24910538,january,16,1,weekday,,WECClink42-57
102,WECClink42-57,0.88339262,-0.88175893,0.21987198,-0.26590466,january,17,1,weekday,,WECClink42-57
108,WECClink42-57,0.90761474,-0.90587541,0.23699877,-0.28119455,january,18,1,weekday,,WECClink42-57
114,WECClink42-57,0.91647314,-0.91469372,0.24361777,-0.28711553,january,19,1,weekday,,WECClink42-57
120,WECClink42-57,0.91530397,-0.9135299000000001,0.24272979,-0.28632061,january,20,1,weekday,,WECClink42-57
126,WECClink42-57,0.9115383,-0.9097813,0.23992070000000004,-0.28380869,january,21,1,weekday,,WECClink42-57
132,WECClink42-57,0.90099562,-0.89928573,0.23217375,-0.27688195,january,22,1,weekday,,WECClink42-57
138,WECClink42-57,0.88482822,-0.88318844,0.22083156,-0.26675875,january,23,1,weekday,,WECClink42-57
144,WECClink42-57,0.87073545,-0.8691548000000001,0.21144498,-0.25839847,january,0,3,weekend,,WECClink42-57
150,WECClink42-57,0.86144967,-0.85990696,0.20554819,-0.25315908,january,1,3,weekend,,WECClink42-57
156,WECClink42-57,0.85767795,-0.85615043,0.20320559,-0.25107968,january,2,3,weekend,,WECClink42-57
162,WECClink42-57,0.85646528,-0.85494262,0.20246761,-0.25042561,january,3,3,weekend,,WECClink42-57
168,WECClink42-57,0.856243,-0.85472123,0.20233054,-0.25030396,january,4,3,weekend,,WECClink42-57
174,WECClink42-57,0.85889028,-0.85735788,0.20397431,-0.25176352,january,5,3,weekend,,WECClink42-57
180,WECClink42-57,0.8665454,-0.86498192,0.20879933,-0.25605008,january,6,3,weekend,,WECClink42-57
186,WECClink42-57,0.87836643,-0.87675396,0.21650221,-0.26290322,january,7,3,weekend,,WECClink42-57
192,WECClink42-57,0.87964386,-0.87802606,0.21731967,-0.26362857,january,8,3,weekend,,WECClink42-57
198,WECClink42-57,0.86274026,-0.86119218,0.20648371,-0.25400052,january,9,3,weekend,,WECClink42-57
204,WECClink42-57,0.84828038,-0.84679006,0.19764361,-0.24616010000000002,january,10,3,weekend,,WECClink42-57
210,WECClink42-57,0.83801613,-0.83656572,0.19168051,-0.24088636,january,11,3,weekend,,WECClink42-57
216,WECClink42-57,0.83570526,-0.83426371,0.19037726,-0.23973595,january,12,3,weekend,,WECClink42-57
222,WECClink42-57,0.83573364,-0.83429199,0.19038020000000003,-0.23973734,january,13,3,weekend,,WECClink42-57
228,WECClink42-57,0.83592133,-0.83447899,0.19046959,-0.23981478,january,14,3,weekend,,WECClink42-57
234,WECClink42-57,0.84067379,-0.83921318,0.19316074,-0.24219071,january,15,3,weekend,,WECClink42-57
240,WECClink42-57,0.85159328,-0.85008997,0.19954928,-0.24784173,january,16,3,weekend,,WECClink42-57
246,WECClink42-57,0.8815919,-0.87996585,0.21865003,-0.26481536,january,17,3,weekend,,WECClink42-57
252,WECClink42-57,0.91127023,-0.90951443,0.23972759999999999,-0.28363646,january,18,3,weekend,,WECClink42-57
258,WECClink42-57,0.92146692,-0.91966451,0.24746665,-0.29056348,january,19,3,weekend,,WECClink42-57
264,WECClink42-57,0.92023296,-0.91843625,0.24651338,-0.28970962,january,20,3,weekend,,WECClink42-57
270,WECClink42-57,0.91650046,-0.91472087,0.24368355,-0.28717778,january,21,3,weekend,,WECClink42-57
276,WECClink42-57,0.90535498,-0.90362572,0.23536722,-0.27973804,january,22,3,weekend,,WECClink42-57
282,WECClink42-57,0.88865133,-0.8869952,0.22346416,-0.26910699,january,23,3,weekend,,WECClink42-57
0,WECClink50-57,1.4135087,-1.4127604,0.0015870004,-0.0023810819,january,0,1,weekday,,WECClink50-57
6,WECClink50-57,0.98754364,-0.98703156,-0.66640976,0.66297997,january,1,1,weekday,,WECClink50-57
12,WECClink50-57,0.95876096,-0.95826797,-0.66935056,0.66572803,january,2,1,weekday,,WECClink50-57
18,WECClink50-57,0.94994452,-0.94945726,-0.67023243,0.66655202,january,3,1,weekday,,WECClink50-57
