,node,active_power_from,active_power_to,reactive_power_from,reactive_power_to,month,hour_of_day,day_of_month,daytype,timezone,line
0,WECClink156-157,2.3423163,-2.3407193,-0.0051990458000000005,0.10155085,january,0,1,weekday,,WECClink156-157
6,WECClink156-157,2.1162571,-2.1149364,-0.37352326,0.45320661,january,1,1,weekday,,WECClink156-157
12,WECClink156-157,2.0809017,-2.0796240000000004,-0.37436298,0.45145283,january,2,1,weekday,,WECClink156-157
18,WECClink156-157,2.0705596,-2.0692943,-0.37458675,0.45092639,january,3,1,weekday,,WECClink156-157
24,WECClink156-157,2.0686691,-2.0674061000000004,-0.37459339,0.45079555,january,4,1,weekday,,WECClink156-157
30,WECClink156-157,2.0931772,-2.0918846999999996,-0.37405808,0.45204285,january,5,1,weekday,,WECClink156-157
36,WECClink156-157,2.1658866000000003,-2.1645042,-0.37213891,0.45553924,january,6,1,weekday,,WECClink156-157
42,WECClink156-157,2.2901986,-2.2886554,-0.36775165,0.46085362,january,7,1,weekday,,WECClink156-157
48,WECClink156-157,2.3289036,-2.3273087,-0.36582366,0.46205403,january,8,1,weekday,,WECClink156-157
54,WECClink156-157,2.1660536,-2.1646712000000004,-0.37163921,0.45503995,january,9,1,weekday,,WECClink156-157
60,WECClink156-157,2.0252118,-2.0240005,-0.37479243,0.44787348,january,10,1,weekday,,WECClink156-157
66,WECClink156-157,1.9214504000000001,-1.9203574,-0.37642912,0.44237181,january,11,1,weekday,,WECClink156-157
72,WECClink156-157,1.8962971999999998,-1.8952319,-0.37680379,0.44107636,january,12,1,weekday,,WECClink156-157
78,WECClink156-157,1.8941343999999998,-1.8930714,-0.37684854,0.44097885,january,13,1,weekday,,WECClink156-157
84,WECClink156-157,1.899973,-1.8989037,-0.37673926,0.44125422,january,14,1,weekday,,WECClink156-157
90,WECClink156-157,1.9461496999999999,-1.9450291000000002,-0.37615475,0.44376255,january,15,1,weekday,,WECClink156-157
96,WECClink156-157,2.0525171,-2.0512735,-0.37464046,0.44967347,january,16,1,weekday,,WECClink156-157
102,WECClink156-157,2.3367654,-2.3351593999999998,-0.36613248,0.46302553,january,17,1,weekday,,WECClink156-157
108,WECClink156-157,2.5860855,-2.5841215,-0.35213012,0.47062519,january,18,1,weekday,,WECClink156-157
114,WECClink156-157,2.6792848,-2.6771762999999997,-0.34688363,0.47409457,january,19,1,weekday,,WECClink156-157
120,WECClink156-157,2.6697525,-2.667659,-0.34753599,0.47384202,january,20,1,weekday,,WECClink156-157
126,WECClink156-157,2.6321047,-2.6300698,-0.3500291,0.47279861,january,21,1,weekday,,WECClink156-157
132,WECClink156-157,2.5286377,-2.5267592999999997,-0.35650169,0.46983111,january,22,1,weekday,,WECClink156-157
138,WECClink156-157,2.3702281000000003,-2.3685763,-0.36462531,0.46428364,january,23,1,weekday,,WECClink156-157
