,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,january,0,1,weekday,
6,WECCbus157,1.0308628,-0.78748417,2.7897441,-0.26467118,january,1,1,weekday,
12,WECCbus157,1.0311546,-0.78293711,2.7542259,-0.26545054,january,2,1,weekday,
18,WECCbus157,1.0312396000000001,-0.78159198,2.7438372,-0.26566116,january,3,1,weekday,
24,WECCbus157,1.0312567,-0.78128365,2.7419367,-0.26567979,january,4,1,weekday,
30,WECCbus157,1.0310540000000001,-0.78449161,2.7665576,-0.265167,january,5,1,weekday,
36,WECCbus157,1.0304429,-0.79388389,2.8396056,-0.26336324,january,6,1,weekday,
42,WECCbus157,1.0293666,-0.80948322,2.9645095,-0.25935865,january,7,1,weekday,
48,WECCbus157,1.0290349,-0.81379521,3.00338,-0.25772943,january,8,1,weekday,
54,WECCbus157,1.0304645000000001,-0.79307628,2.8397232999999997,-0.26314361,january,9,1,weekday,
60,WECCbus157,1.0316319,-0.77468578,2.6982221,-0.26614183,january,10,1,weekday,
66,WECCbus157,1.0324346,-0.76156068,2.5940177,-0.26761431,january,11,1,weekday,
72,WECCbus157,1.0326178,-0.75858511,2.5687636,-0.26791151,january,12,1,weekday,
78,WECCbus157,1.0326336999999999,-0.75831903,2.5665997000000003,-0.26793221,january,13,1,weekday,
84,WECCbus157,1.0325918,-0.75899657,2.5724542,-0.26786379,january,14,1,weekday,
90,WECCbus157,1.0322448,-0.7647748999999999,2.6188217000000003,-0.26735623,january,15,1,weekday,
96,WECCbus157,1.0313961999999999,-0.77888484,2.7256588,-0.2658973,january,16,1,weekday,
102,WECCbus157,1.028915,-0.81641459,3.0112711,-0.25777103,january,17,1,weekday,
108,WECCbus157,1.026563,-0.84648973,3.2619119999999997,-0.24498731,january,18,1,weekday,
114,WECCbus157,1.0255528,-0.8600771,3.3556865,-0.23973188,january,19,1,weekday,
