,node,active_power_from,active_power_to,reactive_power_from,reactive_power_to,month,hour_of_day,day_of_month,daytype,timezone,line
0,WECClink156-157,2.3423163,-2.3407193,-0.0051990458000000005,0.10155085,january,0,1,weekday,,WECClink156-157
6,WECClink156-157,2.1162571,-2.1149364,-0.37352326,0.45320661,january,1,1,weekday,,WECClink156-157
12,WECClink156-157,2.0823129000000002,-2.0810334,-0.37432599,0.45151811,january,2,1,weekday,,WECClink156-157
18,WECClink156-157,2.0731491,-2.0718807,-0.37452002,0.45104643,january,3,1,weekday,,WECClink156-157
24,WECClink156-157,2.0712663,-2.0700002,-0.37452684,0.45091614,january,4,1,weekday,,WECClink156-157
30,WECClink156-157,2.0957718,-2.0944761,-0.37398654,0.45216056,january,5,1,weekday,,WECClink156-157
36,WECClink156-157,2.1681855,-2.1668003,-0.37206375,0.4556378,january,6,1,weekday,,WECClink156-157
42,WECClink156-157,2.2904904999999998,-2.2889470000000003,-0.36773973,0.46086508,january,7,1,weekday,,WECClink156-157
48,WECClink156-157,2.3245096000000003,-2.3229206000000002,-0.36587112,0.46173951,january,8,1,weekday,,WECClink156-157
54,WECClink156-157,2.1460541,-2.1446972,-0.3711025,0.45296906,january,9,1,weekday,,WECClink156-157
60,WECClink156-157,1.9972613999999997,-1.9960828999999998,-0.3745667,0.44567069,january,10,1,weekday,,WECClink156-157
66,WECClink156-157,1.8837823,-1.8827306000000001,-0.37703768,0.44048909999999997,january,11,1,weekday,,WECClink156-157
72,WECClink156-157,1.8655648999999999,-1.8645328999999997,-0.37723483,0.43949832,january,12,1,weekday,,WECClink156-157
78,WECClink156-157,1.8600433999999997,-1.8590172999999999,-0.37735292,0.43925997,january,13,1,weekday,,WECClink156-157
84,WECClink156-157,1.8616063999999999,-1.8605786,-0.37737668,0.43938564,january,14,1,weekday,,WECClink156-157
90,WECClink156-157,1.9132845,-1.9122005000000002,-0.37647125,0.44186768,january,15,1,weekday,,WECClink156-157
96,WECClink156-157,2.0301682,-2.0289514,-0.37384123,0.44725415,january,16,1,weekday,,WECClink156-157
102,WECClink156-157,2.3176339,-2.3160537999999997,-0.36702737,0.46235924,january,17,1,weekday,,WECClink156-157
108,WECClink156-157,2.5863492999999997,-2.5843874,-0.34683782,0.46520703,january,18,1,weekday,,WECClink156-157
114,WECClink156-157,2.6808394,-2.6787311000000003,-0.34140771,0.46860559999999996,january,19,1,weekday,,WECClink156-157
120,WECClink156-157,2.6689145,-2.6668224,-0.34755392,0.47377985,january,20,1,weekday,,WECClink156-157
126,WECClink156-157,2.6318354999999998,-2.6298011000000003,-0.35004631,0.47279083,january,21,1,weekday,,WECClink156-157
132,WECClink156-157,2.5283686000000003,-2.5264906000000003,-0.35651694,0.46982243,january,22,1,weekday,,WECClink156-157
138,WECClink156-157,2.3702281000000003,-2.3685763,-0.36462531,0.46428364,january,23,1,weekday,,WECClink156-157
