,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,january,0,1,weekday,
6,WECCbus157,1.0308653,-0.78738026,2.7897634,-0.26463509,january,1,1,weekday,
12,WECCbus157,1.0311571,-0.78283157,2.7542458,-0.26541375,january,2,1,weekday,
18,WECCbus157,1.0312421,-0.7814871999999999,2.7438563,-0.26562482,january,3,1,weekday,
24,WECCbus157,1.0312591999999998,-0.78117753,2.7419561000000003,-0.26564265,january,4,1,weekday,
30,WECCbus157,1.0310565999999999,-0.78438678,2.7665772,-0.26513058,january,5,1,weekday,
36,WECCbus157,1.0304455,-0.79377791,2.8396262,-0.26332657,january,6,1,weekday,
42,WECCbus157,1.0293694,-0.80937661,2.9645319,-0.25932238,january,7,1,weekday,
48,WECCbus157,1.0290394,-0.81361986,3.003416,-0.25766949,january,8,1,weekday,
54,WECCbus157,1.0304712,-0.79280489,2.8397752,-0.26304997,january,9,1,weekday,
60,WECCbus157,1.0316398,-0.77435307,2.6982825,-0.26602649,january,10,1,weekday,
66,WECCbus157,1.032442,-0.76123712,2.5940737,-0.26750119,january,11,1,weekday,
72,WECCbus157,1.0326252,-0.7582656999999999,2.5688188999999997,-0.26779980000000003,january,12,1,weekday,
78,WECCbus157,1.0326402,-0.75803652,2.5666477999999997,-0.26783326,january,13,1,weekday,
84,WECCbus157,1.0325992,-0.75867496,2.5725091,-0.26775127,january,14,1,weekday,
90,WECCbus157,1.0322524,-0.7644466999999999,2.6188792999999997,-0.26724166,january,15,1,weekday,
96,WECCbus157,1.0314041999999999,-0.77854639,2.7257214,-0.26577999,january,16,1,weekday,
102,WECCbus157,1.0289244,-0.81604972,3.0113472000000003,-0.25764678,january,17,1,weekday,
108,WECCbus157,1.0265678,-0.8463139000000001,3.261952,-0.24492842,january,18,1,weekday,
114,WECCbus157,1.0255555,-0.85997965,3.3557092000000006,-0.23969933,january,19,1,weekday,
120,WECCbus157,1.0256584999999998,-0.85868887,3.3461205,-0.24033156,january,20,1,weekday,
126,WECCbus157,1.0260479,-0.85386307,3.3082613,-0.24263251,january,21,1,weekday,
132,WECCbus157,1.0271,-0.84053847,3.2042197999999997,-0.24871428,january,22,1,weekday,
138,WECCbus157,1.0286249,-0.82011563,3.0449734,-0.25631755,january,23,1,weekday,
144,WECCbus157,1.0298863999999999,-0.80216496,2.9047908,-0.26151407,january,0,3,weekend,
150,WECCbus157,1.0306799999999998,-0.79026243,2.8117825,-0.26411072,january,1,3,weekend,
156,WECCbus157,1.0309815999999998,-0.78557684,2.7755513,-0.26494118,january,2,3,weekend,
162,WECCbus157,1.0310738000000002,-0.78412247,2.764442,-0.26517838,january,3,3,weekend,
168,WECCbus157,1.0310925,-0.78383256,2.7621537,-0.26522917,january,4,3,weekend,
174,WECCbus157,1.0308713,-0.78725623,2.7889752999999997,-0.26460337,january,5,3,weekend,
180,WECCbus157,1.0302276,-0.79702345,2.865171,-0.26257585,january,6,3,weekend,
186,WECCbus157,1.0291101999999999,-0.81308285,2.9930559,-0.25825169,january,7,3,weekend,
192,WECCbus157,1.0288291999999999,-0.8165896,3.0259395000000002,-0.25672891,january,8,3,weekend,
198,WECCbus157,1.0305535,-0.79168731,2.8288936000000002,-0.26333992,january,9,3,weekend,
204,WECCbus157,1.0317636000000001,-0.7725263000000001,2.6812713,-0.26634640000000004,january,10,3,weekend,
210,WECCbus157,1.0325311,-0.75988813,2.5806658,-0.26763714,january,11,3,weekend,
216,WECCbus157,1.0326982,-0.75712502,2.5576837,-0.2678687,january,12,3,weekend,
222,WECCbus157,1.0327153,-0.75679356,2.5555875,-0.26786375,january,13,3,weekend,
228,WECCbus157,1.0327011000000001,-0.75700374,2.5576345000000003,-0.26782347,january,14,3,weekend,
234,WECCbus157,1.0323778000000001,-0.76225168,2.6021688999999997,-0.26728883,january,15,3,weekend,
240,WECCbus157,1.031578,-0.7747606,2.7085227,-0.26545592,january,16,3,weekend,
246,WECCbus157,1.0290766,-0.81360414,2.9959387000000004,-0.25806818,january,17,3,weekend,
252,WECCbus157,1.0261619,-0.85259318,3.2959485,-0.24335494,january,18,3,weekend,
258,WECCbus157,1.0250256,-0.86632684,3.4055044000000003,-0.23622361,january,19,3,weekend,
264,WECCbus157,1.0251363000000002,-0.86496903,3.3954184,-0.23693356,january,20,3,weekend,
270,WECCbus157,1.025543,-0.8600565999999998,3.3565242,-0.23947081,january,21,3,weekend,
276,WECCbus157,1.0266737,-0.84599006,3.2466916,-0.24627712,january,22,3,weekend,
282,WECCbus157,1.0282974,-0.82466442,3.079744,-0.25482985,january,23,3,weekend,
0,WECCbus54,0.9935159,-1.7575343999999997,2.8621619,0.57638068,january,0,1,weekday,
6,WECCbus54,1.0157708,-1.7280448,2.3955669,-0.14091084,january,1,1,weekday,
12,WECCbus54,1.0160359,-1.7237508000000001,2.3635,-0.14228587,january,2,1,weekday,
18,WECCbus54,1.0161154000000001,-1.7224575,2.3547234,-0.14263755,january,3,1,weekday,
24,WECCbus54,1.016145,-1.7220313999999999,2.351313,-0.14278893,january,4,1,weekday,
30,WECCbus54,1.0159467,-1.7251866000000002,2.378083,-0.14162950000000002,january,5,1,weekday,
36,WECCbus54,1.0153853000000002,-1.7341311999999998,2.4459091,-0.13856897,january,6,1,weekday,
42,WECCbus54,1.0145059,-1.7480686999999997,2.5514602,-0.13318829999999998,january,7,1,weekday,
48,WECCbus54,1.0143783000000002,-1.7505839,2.5673897,-0.13227454,january,8,1,weekday,
54,WECCbus54,1.0155888000000002,-1.7313601000000003,2.4597938,-0.1374398,january,9,1,weekday,
60,WECCbus54,1.0166981,-1.7133266,2.3353957000000003,-0.14267787,january,10,1,weekday,
66,WECCbus54,1.017374,-1.701445,2.253791,-0.14542864,january,11,1,weekday,
72,WECCbus54,1.0174928,-1.6991623,2.2351353,-0.14604194,january,12,1,weekday,
78,WECCbus54,1.0174969999999999,-1.6990443,2.2343896,-0.14605431,january,13,1,weekday,
84,WECCbus54,1.0174833,-1.699412,2.2346331000000004,-0.14611119,january,14,1,weekday,
90,WECCbus54,1.0172031,-1.7044996,2.2673658,-0.14513781,january,15,1,weekday,
96,WECCbus54,1.0163706000000001,-1.7185376,2.3488669,-0.14255344,january,16,1,weekday,
102,WECCbus54,1.0139722,-1.7556744999999998,2.5915388,-0.1311767,january,17,1,weekday,
108,WECCbus54,1.0122870000000002,-1.7807643,2.8270536,-0.11481968,january,18,1,weekday,
114,WECCbus54,1.0110248,-1.7968756000000001,2.9095545,-0.10856152,january,19,1,weekday,
120,WECCbus54,1.0111296,-1.7955326,2.9007319,-0.10927784,january,20,1,weekday,
126,WECCbus54,1.0114639,-1.7910273999999997,2.8680136000000003,-0.11186627,january,21,1,weekday,
132,WECCbus54,1.0123879999999998,-1.7784328,2.7736771,-0.11902019,january,22,1,weekday,
138,WECCbus54,1.0137462,-1.7590721999999999,2.6278405,-0.12869898,january,23,1,weekday,
144,WECCbus54,1.0148753000000001,-1.7421127,2.5004907000000003,-0.1359036,january,0,3,weekend,
150,WECCbus54,1.0155870999999999,-1.7309031000000004,2.4198017999999997,-0.13977101,january,1,3,weekend,
156,WECCbus54,1.0158695,-1.7263927,2.3872315,-0.14120729999999998,january,2,3,weekend,
162,WECCbus54,1.0159574,-1.7249683999999998,2.3796432999999997,-0.14149242,january,3,3,weekend,
168,WECCbus54,1.0159736,-1.7247014999999999,2.377785,-0.14157346,january,4,3,weekend,
174,WECCbus54,1.0157738,-1.7279194,2.4036927,-0.14042068,january,5,3,weekend,
180,WECCbus54,1.0151899,-1.7371651000000001,2.4734152000000003,-0.13714624,january,6,3,weekend,
186,WECCbus54,1.0142556,-1.7517095,2.5863728,-0.13107619,january,7,3,weekend,
192,WECCbus54,1.0141658000000002,-1.7535988999999998,2.5987888,-0.13028897,january,8,3,weekend,
198,WECCbus54,1.0155912,-1.7309106,2.4683144,-0.13667661,january,9,3,weekend,
204,WECCbus54,1.0167266,-1.7123609,2.3407421000000004,-0.14210121,january,10,3,weekend,
210,WECCbus54,1.0173793,-1.7009327,2.2548405,-0.14515067,january,11,3,weekend,
216,WECCbus54,1.0175001000000001,-1.6986813000000003,2.2364074,-0.14575355,january,12,3,weekend,
222,WECCbus54,1.0175275,-1.6982436,2.2332528999999997,-0.14584792,january,13,3,weekend,
228,WECCbus54,1.017527,-1.6983267,2.2309563,-0.14597181,january,14,3,weekend,
234,WECCbus54,1.0173136,-1.7023833,2.2657216,-0.14477525,january,15,3,weekend,
240,WECCbus54,1.0167966,-1.7120129000000002,2.3507694,-0.1414989,january,16,3,weekend,
246,WECCbus54,1.0141875,-1.7525301,2.5966962000000002,-0.13030831,january,17,3,weekend,
