,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,january,0,1,weekday,
6,WECCbus157,1.0308628,-0.78748417,2.7897441,-0.26467118,january,1,1,weekday,
12,WECCbus157,1.0311546,-0.78293711,2.7542259,-0.26545054,january,2,1,weekday,
18,WECCbus157,1.0312396000000001,-0.78159198,2.7438372,-0.26566116,january,3,1,weekday,
24,WECCbus157,1.0312567,-0.78128365,2.7419367,-0.26567979,january,4,1,weekday,
30,WECCbus157,1.0310540000000001,-0.78449161,2.7665576,-0.265167,january,5,1,weekday,
36,WECCbus157,1.0304429,-0.79388389,2.8396056,-0.26336324,january,6,1,weekday,
42,WECCbus157,1.0293668,-0.80948095,2.9644858,-0.25935916,january,7,1,weekday,
48,WECCbus157,1.0290559000000001,-0.81359429,3.0002880000000003,-0.25784714,january,8,1,weekday,
54,WECCbus157,1.0304372,-0.79392285,2.8409557999999997,-0.26336447,january,9,1,weekday,
60,WECCbus157,1.0315937,-0.77592662,2.7000445,-0.26648366,january,10,1,weekday,
66,WECCbus157,1.0323955,-0.76277687,2.5965161,-0.26793886,january,11,1,weekday,
72,WECCbus157,1.0325815999999999,-0.75964845,2.5715632999999998,-0.26817745,january,12,1,weekday,
78,WECCbus157,1.0325954,-0.75948356,2.5693227000000003,-0.26823706,january,13,1,weekday,
84,WECCbus157,1.032551,-0.76027731,2.575073,-0.26820982,january,14,1,weekday,
90,WECCbus157,1.0322016,-0.76621482,2.6209351,-0.26776674,january,15,1,weekday,
96,WECCbus157,1.0313658,-0.77985702,2.7270877999999996,-0.26616184,january,16,1,weekday,
102,WECCbus157,1.0288925,-0.81676916,3.0137834,-0.2577311,january,17,1,weekday,
108,WECCbus157,1.0265132,-0.8482618000000001,3.2617737,-0.24556227,january,18,1,weekday,
114,WECCbus157,1.0255528,-0.8600771,3.3556865,-0.23973188,january,19,1,weekday,
