# file...... System_ABC_load_meter.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# target.... transformer 148
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2016-07-01 00:00:00 PDT,+2.32261e+06-962277i,+894412-343309i,+633247-416762j,+794955-202206j
2016-07-01 01:00:00 PDT,+2.25079e+06-966493i,+866932-344580i,+614150-418373j,+769704-203540j
2016-07-01 02:00:00 PDT,+2.22055e+06-968233i,+855477-345018i,+606301-419107j,+758772-204108j
2016-07-01 03:00:00 PDT,+2.26985e+06-965418i,+872571-344449i,+618880-417903j,+778397-203065j
2016-07-01 04:00:00 PDT,+2.37654e+06-959081i,+912834-342757i,+647405-415291j,+816306-201033j
2016-07-01 05:00:00 PDT,+2.53688e+06-948883i,+972322-339752i,+687835-411752j,+876725-197379j
2016-07-01 06:00:00 PDT,+2.63781e+06-941952i,+1.00437e+06-338058i,+708613-409993j,+924826-193901j
2016-07-01 07:00:00 PDT,+2.39443e+06-957573i,+908350-342882i,+641242-416090j,+844836-198602j
2016-07-01 08:00:00 PDT,+2.09776e+06-974755i,+803261-347023i,+565251-422701j,+729249-205031j
2016-07-01 09:00:00 PDT,+1.92686e+06-983572i,+746928-348527i,+522962-426538j,+656969-208507j
2016-07-01 10:00:00 PDT,+1.93423e+06-983235i,+750866-348216i,+525788-426515j,+657572-208504j
2016-07-01 11:00:00 PDT,+1.96207e+06-981910i,+763631-347526i,+535346-426026j,+663091-208358j
2016-07-01 12:00:00 PDT,+2.07129e+06-976226i,+808476-345602i,+564312-423826j,+698499-206797j
2016-07-01 13:00:00 PDT,+2.27777e+06-964759i,+883490-342343i,+618380-419513j,+775904-202904j
2016-07-01 14:00:00 PDT,+2.59636e+06-944855i,+996150-337063i,+699017-412384j,+901192-195408j
2016-07-01 15:00:00 PDT,+3.17093e+06-902467i,+1.20034e+06-325515i,+847739-397885j,+1.12285e+06-179067j
2016-07-01 16:00:00 PDT,+3.54548e+06-870716i,+1.36626e+06-312259i,+960589-385992j,+1.21863e+06-172465j
2016-07-01 17:00:00 PDT,+3.76037e+06-850761i,+1.44649e+06-306330i,+1.01791e+06-378906j,+1.29597e+06-165525j
2016-07-01 18:00:00 PDT,+3.81494e+06-845434i,+1.46378e+06-305194i,+1.03092e+06-377171j,+1.32025e+06-163069j
2016-07-01 19:00:00 PDT,+3.966e+06-830315i,+1.51518e+06-301002i,+1.06845e+06-372652j,+1.38237e+06-156661j
2016-07-01 20:00:00 PDT,+3.82158e+06-844552i,+1.46619e+06-304375i,+1.0314e+06-377553j,+1.32399e+06-162624j
2016-07-01 21:00:00 PDT,+3.30789e+06-891206i,+1.27588e+06-319551i,+895261-392373j,+1.13675e+06-179281j
2016-07-01 22:00:00 PDT,+2.84268e+06-927762i,+1.09969e+06-331597i,+771962-404560j,+971031-191605j
2016-07-01 23:00:00 PDT,+2.46035e+06-953743i,+952112-340248i,+669714-413662j,+838529-199833j
2016-07-02 00:00:00 PDT,+2.35711e+06-960130i,+911443-342436i,+641451-415979j,+804221-201715j
2016-07-02 01:00:00 PDT,+2.28264e+06-964567i,+883125-343783i,+621688-417655j,+777829-203128j
2016-07-02 02:00:00 PDT,+2.26132e+06-965803i,+875688-344060i,+616248-418163j,+769386-203579j
2016-07-02 03:00:00 PDT,+2.31088e+06-962931i,+891890-343552i,+628632-416945j,+790361-202434j
2016-07-02 04:00:00 PDT,+2.42797e+06-955813i,+937518-341492i,+659869-414071j,+830581-200249j
2016-07-02 05:00:00 PDT,+2.57761e+06-946190i,+997440-338290i,+701192-410367j,+878975-197532j
2016-07-02 06:00:00 PDT,+2.66633e+06-940121i,+1.03532e+06-336006i,+724218-408278j,+906784-195837j
2016-07-02 07:00:00 PDT,+2.35431e+06-960145i,+922914-341537i,+643640-415740j,+787759-202868j
2016-07-02 08:00:00 PDT,+2.07355e+06-976059i,+820523-345717i,+570818-422279j,+682207-208063j
2016-07-02 09:00:00 PDT,+1.91443e+06-984136i,+766113-347201i,+532311-426007j,+616005-210928j
2016-07-02 10:00:00 PDT,+1.93107e+06-983355i,+772898-346774i,+538003-425790j,+620170-210791j
